,Id,Dataset,Filepath,Filename,Ext,Speaker,Text,Gender,Age,Race,Accent,Emotion,Intensity/Level
27,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IOM_SAD_XX.wav,1001_IOM_SAD_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
28,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITH_ANG_XX.wav,1001_ITH_ANG_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
29,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITH_DIS_XX.wav,1001_ITH_DIS_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
30,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITH_FEA_XX.wav,1001_ITH_FEA_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
31,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITH_HAP_XX.wav,1001_ITH_HAP_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
32,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITH_NEU_XX.wav,1001_ITH_NEU_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
33,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITH_SAD_XX.wav,1001_ITH_SAD_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
34,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITS_ANG_XX.wav,1001_ITS_ANG_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
35,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITS_DIS_XX.wav,1001_ITS_DIS_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
36,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITS_FEA_XX.wav,1001_ITS_FEA_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
37,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITS_HAP_XX.wav,1001_ITS_HAP_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
38,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITS_NEU_XX.wav,1001_ITS_NEU_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
39,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_ITS_SAD_XX.wav,1001_ITS_SAD_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
40,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWL_ANG_XX.wav,1001_IWL_ANG_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
41,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWL_DIS_XX.wav,1001_IWL_DIS_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
42,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWL_FEA_XX.wav,1001_IWL_FEA_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
43,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWL_HAP_XX.wav,1001_IWL_HAP_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
44,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWL_NEU_XX.wav,1001_IWL_NEU_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
45,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWL_SAD_XX.wav,1001_IWL_SAD_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
46,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWW_ANG_XX.wav,1001_IWW_ANG_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
47,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWW_DIS_XX.wav,1001_IWW_DIS_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
48,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWW_FEA_XX.wav,1001_IWW_FEA_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
49,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWW_HAP_XX.wav,1001_IWW_HAP_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
50,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWW_NEU_XX.wav,1001_IWW_NEU_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
51,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_IWW_SAD_XX.wav,1001_IWW_SAD_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
52,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_MTI_ANG_XX.wav,1001_MTI_ANG_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
53,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_MTI_DIS_XX.wav,1001_MTI_DIS_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
54,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_MTI_FEA_XX.wav,1001_MTI_FEA_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
55,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_MTI_HAP_XX.wav,1001_MTI_HAP_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
56,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_MTI_NEU_XX.wav,1001_MTI_NEU_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
57,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_MTI_SAD_XX.wav,1001_MTI_SAD_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
58,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TAI_ANG_XX.wav,1001_TAI_ANG_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
59,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TAI_DIS_XX.wav,1001_TAI_DIS_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
60,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TAI_FEA_XX.wav,1001_TAI_FEA_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
61,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TAI_HAP_XX.wav,1001_TAI_HAP_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
62,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TAI_NEU_XX.wav,1001_TAI_NEU_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
63,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TAI_SAD_XX.wav,1001_TAI_SAD_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
64,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TIE_ANG_XX.wav,1001_TIE_ANG_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
65,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TIE_DIS_XX.wav,1001_TIE_DIS_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
66,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TIE_FEA_XX.wav,1001_TIE_FEA_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
67,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TIE_HAP_XX.wav,1001_TIE_HAP_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
68,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TIE_NEU_XX.wav,1001_TIE_NEU_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
69,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TIE_SAD_XX.wav,1001_TIE_SAD_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
70,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TSI_ANG_XX.wav,1001_TSI_ANG_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
71,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TSI_DIS_XX.wav,1001_TSI_DIS_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
72,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TSI_FEA_XX.wav,1001_TSI_FEA_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
73,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TSI_HAP_XX.wav,1001_TSI_HAP_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
74,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TSI_NEU_XX.wav,1001_TSI_NEU_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
75,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_TSI_SAD_XX.wav,1001_TSI_SAD_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
76,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_WSI_ANG_XX.wav,1001_WSI_ANG_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Anger,Unspecified
77,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_WSI_DIS_XX.wav,1001_WSI_DIS_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Disgust,Unspecified
78,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_WSI_FEA_XX.wav,1001_WSI_FEA_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Fear,Unspecified
79,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_WSI_HAP_XX.wav,1001_WSI_HAP_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Happy,Unspecified
80,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_WSI_NEU_XX.wav,1001_WSI_NEU_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Neutral,Unspecified
81,,CREMA-D,./data/CREMA-D-master\AudioWAV\1001_WSI_SAD_XX.wav,1001_WSI_SAD_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Sad,Unspecified
82,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_DFA_ANG_XX.wav,1002_DFA_ANG_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Anger,Unspecified
83,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_DFA_DIS_XX.wav,1002_DFA_DIS_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Disgust,Unspecified
84,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_DFA_FEA_XX.wav,1002_DFA_FEA_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Fear,Unspecified
85,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_DFA_HAP_XX.wav,1002_DFA_HAP_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Happy,Unspecified
86,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_DFA_NEU_XX.wav,1002_DFA_NEU_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Neutral,Unspecified
87,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_DFA_SAD_XX.wav,1002_DFA_SAD_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Sad,Unspecified
88,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_ANG_HI.wav,1002_IEO_ANG_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Anger,High
89,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_ANG_LO.wav,1002_IEO_ANG_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Anger,Low
90,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_ANG_MD.wav,1002_IEO_ANG_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Anger,Medium
91,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_DIS_HI.wav,1002_IEO_DIS_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Disgust,High
92,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_DIS_LO.wav,1002_IEO_DIS_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Disgust,Low
93,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_DIS_MD.wav,1002_IEO_DIS_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Disgust,Medium
94,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_FEA_HI.wav,1002_IEO_FEA_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Fear,High
95,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_FEA_LO.wav,1002_IEO_FEA_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Fear,Low
96,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_FEA_MD.wav,1002_IEO_FEA_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Fear,Medium
97,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_HAP_HI.wav,1002_IEO_HAP_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Happy,High
98,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_HAP_LO.wav,1002_IEO_HAP_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Happy,Low
99,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_HAP_MD.wav,1002_IEO_HAP_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Happy,Medium
100,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_NEU_XX.wav,1002_IEO_NEU_XX.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Neutral,Unspecified
101,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_SAD_HI.wav,1002_IEO_SAD_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Sad,High
102,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_SAD_LO.wav,1002_IEO_SAD_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Sad,Low
103,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IEO_SAD_MD.wav,1002_IEO_SAD_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Sad,Medium
104,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IOM_ANG_XX.wav,1002_IOM_ANG_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Anger,Unspecified
105,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IOM_DIS_XX.wav,1002_IOM_DIS_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Disgust,Unspecified
106,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IOM_FEA_XX.wav,1002_IOM_FEA_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Fear,Unspecified
107,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IOM_HAP_XX.wav,1002_IOM_HAP_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Happy,Unspecified
108,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IOM_NEU_XX.wav,1002_IOM_NEU_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Neutral,Unspecified
109,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_IOM_SAD_XX.wav,1002_IOM_SAD_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Sad,Unspecified
110,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITH_ANG_XX.wav,1002_ITH_ANG_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Anger,Unspecified
111,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITH_DIS_XX.wav,1002_ITH_DIS_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Disgust,Unspecified
112,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITH_FEA_XX.wav,1002_ITH_FEA_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Fear,Unspecified
113,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITH_HAP_XX.wav,1002_ITH_HAP_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Happy,Unspecified
114,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITH_NEU_XX.wav,1002_ITH_NEU_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Neutral,Unspecified
115,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITH_SAD_XX.wav,1002_ITH_SAD_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Sad,Unspecified
116,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITS_ANG_XX.wav,1002_ITS_ANG_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Anger,Unspecified
117,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITS_DIS_XX.wav,1002_ITS_DIS_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Disgust,Unspecified
118,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITS_FEA_XX.wav,1002_ITS_FEA_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Fear,Unspecified
119,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITS_HAP_XX.wav,1002_ITS_HAP_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Happy,Unspecified
120,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITS_NEU_XX.wav,1002_ITS_NEU_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Neutral,Unspecified
121,,CREMA-D,./data/CREMA-D-master\AudioWAV\1002_ITS_SAD_XX.wav,1002_ITS_SAD_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Sad,Unspecified
